Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price
LADA (VAZ),Niva,2018,Offroader / SUV,Yaş Asfalt,1.7,-1.056670673056954,Benzin,Mexaniki,-0.750351800111811,Xeyr,8411.764705882353
Land Rover,Range Rover,2012,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.03852199456148302,Xeyr,34700.0
Toyota,Prius,2007,Liftbek,Qara,1.5,-1.1250431505863003,Hibrid,Avtomat,0.9483406844627652,Xeyr,7588.235294117647
BMW,X5,2023,Offroader / SUV,Qara,2.0,0.3889188518492232,Dizel,Avtomat,-1.4783628649294864,Bəli,90999.0
Opel,Astra,2007,Sedan,Qara,1.6,-0.7441107757799427,Benzin,Robotlaşdırılmış,-0.2941315328260677,Xeyr,6176.470588235295
Mercedes,C 250,2012,Sedan,Qara,1.8,0.12519643852174495,Benzin,Avtomat,-0.5465087019628618,Xeyr,16300.0
LADA (VAZ),Niva,2018,Offroader / SUV,Yaş Asfalt,1.7,-1.056670673056954,Benzin,Mexaniki,-0.750351800111811,Xeyr,8411.764705882353
Nissan,Micra,2013,Hetçbek,Qara,1.2,-1.0859731634266738,Benzin,Avtomat,-1.0656970729482353,Xeyr,7823.529411764706
Kia,Sorento,2009,Offroader / SUV,Boz,2.0,-0.0701534972763871,Dizel,Avtomat,1.2395451103898354,Xeyr,15176.470588235294
LADA (VAZ),21099,2002,Sedan,Gümüşü,1.6,-1.0762056666367672,Benzin,Mexaniki,0.9934385432246707,Xeyr,3647.0588235294117
Toyota,Camry,2015,Sedan,Qara,2.5,0.08612645136211854,Hibrid,Avtomat,0.28827731902807274,Xeyr,17647.058823529413
Toyota,Highlander,2022,Offroader / SUV,Qara,2.5,0.5061288133281024,Hibrid,Avtomat,-1.4783628649294864,Bəli,60999.0
Nissan,Note,2013,Hetçbek,Tünd qırmızı,1.2,-0.910158221208355,Benzin,Avtomat,-1.0238218764999225,Xeyr,8529.411764705883
Nissan,Tiida,2012,Sedan,Gümüşü,1.5,-0.8027157565193823,Benzin,Avtomat,-1.114959155000898,Xeyr,9000.0
Nissan,Tiida,2012,Hetçbek,Qara,1.5,-0.8027157565193823,Benzin,Avtomat,-1.2303537621815983,Xeyr,8941.176470588236
Nissan,Micra,2014,Hetçbek,Qara,1.2,-1.0859731634266738,Benzin,Avtomat,-1.13280027949603,Xeyr,7764.705882352941
Nissan,Note,2014,Hetçbek,Gümüşü,1.2,-0.910158221208355,Benzin,Avtomat,-0.8606891570955779,Xeyr,8588.235294117647
Kia,Carnival,2014,Minivan,Qara,2.2,0.10566144494193175,Dizel,Avtomat,0.4144659035964698,Xeyr,24411.764705882353
Mercedes,S 350,2015,Sedan,Qara,3.0,0.5647337940675421,Dizel,Avtomat,-0.5368018877652928,Xeyr,51999.0
BMW,528,2015,Sedan,Yaş Asfalt,2.0,0.5256638069079157,Benzin,Avtomat,-0.17764976245523958,Xeyr,25900.0
Mercedes,C 300,2022,Sedan,Ağ,2.0,0.19356891605109117,Plug-in Hibrid,Avtomat,-1.4783628649294864,Bəli,70999.0
Kia,Rio X-Line,2021,Offroader / SUV,Ağ,1.6,-0.6562033046707832,Benzin,Avtomat,-1.2881093066571339,Xeyr,20470.58823529412
Land Rover,Range Rover,2018,Offroader / SUV,Qara,5.0,3.2605629080817646,Benzin,Avtomat,-1.2162788815951233,Xeyr,147999.0
Land Rover,Range Rover,2014,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.12911569146739454,Xeyr,74999.0
Mercedes,GLS 450,2022,Offroader / SUV,Gümüşü,3.0,1.7172984152765212,Benzin,Avtomat,-1.4783628649294864,Bəli,149999.0
Land Rover,Defender,2022,Offroader / SUV,Boz,3.0,1.0628761303527787,Dizel,Avtomat,-1.4783628649294864,Bəli,152999.0
Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0,1.7172984152765212,Benzin,Avtomat,-1.4783628649294864,Bəli,135999.0
Nissan,Maxima,1998,Sedan,Yaşıl,3.0,0.01775397383277232,Benzin,Mexaniki,1.1910110394019904,Xeyr,2235.294117647059
Hyundai,Elantra,2014,Sedan,Qara,1.8,-0.4022483881332116,Benzin,Avtomat,0.676549886930833,Xeyr,12823.529411764706
Toyota,RAV4,2022,Offroader / SUV,Ağ,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,41999.0
Mercedes,GLC 300 e 4Matic Coupe,2023,Offroader / SUV,Qara,2.0,1.209388582201378,Plug-in Hibrid,Avtomat,-1.4783628649294864,Bəli,78999.0
Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.3184752179967099,Xeyr,15470.588235294119
LADA (VAZ),2106,2004,Sedan,Göy,1.6,-1.1348106473762067,Benzin,Mexaniki,-0.7579813560711002,Xeyr,3823.529411764706
Chevrolet,Epica,2008,Sedan,Qəhvəyi,2.0,-0.4022483881332116,Dizel,Avtomat,1.2880791813776804,Xeyr,8176.470588235295
LADA (VAZ),Priora,2013,Sedan,Ağ,1.6,-0.910158221208355,Benzin,Mexaniki,-0.8073793335225289,Xeyr,6176.470588235295
Mercedes,E 220,2019,Sedan,Qara,2.2,-0.20689845233507956,Dizel,Avtomat,-1.0124357834461741,Xeyr,47500.0
Land Rover,RR Sport,2006,Offroader / SUV,Ağ,4.4,1.0628761303527787,Benzin,Avtomat,1.067957755819408,Xeyr,16323.529411764706
Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0,1.7172984152765212,Benzin,Avtomat,-1.4783628649294864,Bəli,135999.0
Nissan,Maxima,1998,Sedan,Yaşıl,3.0,0.01775397383277232,Benzin,Mexaniki,1.1910110394019904,Xeyr,2235.294117647059
Hyundai,Elantra,2014,Sedan,Qara,1.8,-0.4022483881332116,Benzin,Avtomat,0.676549886930833,Xeyr,12823.529411764706
Toyota,RAV4,2022,Offroader / SUV,Ağ,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,41999.0
Hyundai,Grandeur,2013,Sedan,Ağ,2.4,-0.10922348443601353,Benzin,Avtomat,0.598895373350281,Xeyr,15235.29411764706
Toyota,Highlander,2021,Offroader / SUV,Ağ,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4201219797440725,Xeyr,61999.0
Toyota,Highlander,2022,Offroader / SUV,Qara,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,61999.0
BMW,X7,2021,Offroader / SUV,Qara,3.0,1.453576001949043,Benzin,Avtomat,-1.0803834828291572,Xeyr,120000.0
Mercedes,C 320,2001,Sedan,Gümüşü,3.2,0.2619413935804374,Benzin,Avtomat,2.4140696282956853,Xeyr,6588.235294117647
Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0,1.7172984152765212,Benzin,Avtomat,-1.4783628649294864,Bəli,147000.0
