,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
14096,Ford,Transit,2007,Furqon,Mavi,2.4,140,Dizel,Mexaniki,198000,Xeyr,24200,AZN,https://turbo.az//autos/7433089-ford-transit
14097,HOWO,Sinotruk,2010,Yük maşını,Ağ,12 ,375,Dizel,Mexaniki,350000,Xeyr,45000,AZN,https://turbo.az//autos/7386456-howo-sinotruk
14098,Hyundai,i30,2007,Hetçbek,Boz,1.6,116,Dizel,Avtomat,164500,Xeyr,16500,AZN,https://turbo.az//autos/7433078-hyundai-i30
14099,Volkswagen,Passat,2012,Sedan,Ağ,1.8,170,Benzin,Avtomat,190000,Xeyr,19700,AZN,https://turbo.az//autos/7433091-volkswagen-passat
14100,Volkswagen,Golf,1999,Hetçbek,Gümüşü,1.8,90,Benzin,Avtomat,365000,Xeyr,4500,AZN,https://turbo.az//autos/7433092-volkswagen-golf
14101,Chevrolet,Trax,2020,Offroader / SUV,Qəhvəyi,1.4,140,Benzin,Avtomat,18950,Xeyr,24900,AZN,https://turbo.az//autos/7400276-chevrolet-trax
14102,Mercedes,C 220,1994,Sedan,Gümüşü,2.2,150,Benzin,Avtomat,336868,Xeyr,9500,AZN,https://turbo.az//autos/7433088-mercedes-c-220
14103,Hyundai,Grandeur,2008,Sedan,Ağ,3.3,235,Benzin,Avtomat,290000,Xeyr,14700,AZN,https://turbo.az//autos/7433087-hyundai-grandeur
14104,Volkswagen,Tiguan,2018,Offroader / SUV,Göy,2.0,200,Benzin,Avtomat,35500,Xeyr,41500,AZN,https://turbo.az//autos/7377325-volkswagen-tiguan
14105,Mercedes,G 63 AMG,2014,Offroader / SUV,Qara,5.5,544,Benzin,Avtomat,83114,Xeyr,79000,USD,https://turbo.az//autos/7433077-mercedes-g-63-amg
14106,Land Rover,Range Rover,2013,Offroader / SUV,Qara,3.0,340,Benzin,Avtomat,152000,Xeyr,57500,USD,https://turbo.az//autos/7383859-land-rover-range-rover
14107,Mitsubishi,L200,2023,Pikap,Yaş Asfalt,2.4,154,Dizel,Mexaniki,0,Bəli,36400,USD,https://turbo.az//autos/7433085-mitsubishi-l200
14108,Opel,Astra,2007,Hetçbek,Gümüşü,1.4,90,Benzin,Mexaniki,168523,Xeyr,12500,AZN,https://turbo.az//autos/7433081-opel-astra
